Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours
"OMAFRA, Program Lead",http://www.omaf.gov.on.ca/,https://www.instagram.com/p/CpNr06_u1oj/,jessica.m.kelly@ontario.ca,"6484 Wellington Rd. 7, Unit 10, Elora, Ontario,",Elora,519-846-3404,Yes,No,Farm,-
Nicholyn Farms,http://www.countrymarkets.ca/,https://www.instagram.com/nicholynfarms/,lynda@nicholyn.com,"3088 Horseshoe Valley Rd. W. RR 2, Phelpston, Ontario",Phelpston,705-737-4498,Yes,No,Farm,-
Plaid Shirt Farms Ltd.,https://plaidshirtfarms.com/,https://www.instagram.com/plaidshirtfarms/,info@plaidshirtfarms.com,"225804 Otterville Road, Otterville, Ontario",Otterville,519-719-9458,Yes,Yes,Farm,-
Vandermeer Nursery,https://www.vandermeernursery.com/,https://www.instagram.com/vandermeernursery/,landscape@vandermeernursery.com," 588 Lakeridge Road South, Ajax, Ontario",Ajax,905-427-2525,Yes,Yes,Farm,Monday to Sunday - 8am to 9pm
Wholesome Pickins Ltd.,https://wholesomepickins.ca/,https://www.instagram.com/wholesomepickins/,info@wholesomepickins.ca," 500 Church Street East, Delhi, Ontario",Delhi,519-427-3508,Yes,Yes,Farm,"Monday Saturday 9-6, Sunday 10-5 "
Van Dorp Farms,-,-,mjvandorp@hotmail.com,"3260 County Road 28, RR 2, Port Hope, Ontario",Port Hope,905-373-2425,Yes,No,Farm,8am-7pm daily
VG Meats,https://vgmeats.ca/,https://www.instagram.com/vgmeats/,info@vgmeats.ca,"966 Concession 6 Woodhous Rd., Simcoe, Ontario",Simcoe,519-426-2000,Yes,Yes, Farm & Meats,Mon – 9:00am – 5:00pm Tues to Fri – 8:00am – 5:30pm Sat –8:00am – 5:00pm
Lake Land Meats & Farm Market,https://www.lakelandmeats.com/,https://www.instagram.com/explore/locations/326920117/lake-land-meats-farm-market/,lakelandmeats@bellnet.ca,"1226 St. Paul St. West, St. Catharines, Ontario",St. Catharines,905-688-4570,Yes,Yes,Meats & Farm,Tuesday 11:00 AM - 5:00 PM Wednesday 11:00 AM - 5:00 PM Thursday 11:00 AM - 5:00 PM Friday 11:00 AM - 5:00 PM Saturday 11:00 AM - 4:00 PM
Warner Farms,https://www.warnersfarm.ca/,https://www.instagram.com/warnersfarm/?hl=en,twarner@vaxxine.com," 4045 John St., Beamsville, Ontario",Beamsville,905-562-5637,Yes,No,Farm,-
Watson Farms,https://watsonfarms.ca/,https://www.instagram.com/watsonfarms,info@watsonfarms.ca," 2287 Hwy #2, Bowmanville, Ontario",Bowmanville,905-623-9109,Yes,Yes,Farm,Daily 9:00am - 7:00pm
Whitty Farms & 13th St. Winery,https://13thstreetwinery.com/,https://www.instagram.com/_u/13thstreetwinery/?utm_source=ig_embed&ig_rid=14d75b30-8374-42c6-8e9e-51be1c66c774&ig_mid=F360D081-56BE-4411-8077-0C4895EECDEA,karen@13thstreetwinery.com,"1776 Fourth Ave., St. Catharines, Ontario",Catharines,905-684-9593,Yes,Yes,Farm & Winery,Mon-Wed & Sat: 11:30am to 5pm Thurs & Fri:  1:30am to 7:30pm Saturday: 12pm to 4pm
Williams’ Orchard,https://www.williamsorchards.ca/,http://instagram.com/williamsorchardsmilton,williamsorchard@gmail.com,"10101 Hume Ct., SS 102, Milton, Ontario",Milton,905-876-4220,Yes,No,Farm,-
Stroud Farms,https://www.stroudfarms.ca/contactus.html,https://www.instagram.com/explore/locations/107062424971377/stroud-farms/,stroudfarms@rogers.com,"786 Taunton Rd. E., Ajax, Ontario,",Ajax,"905-427-6603",Yes,No,Farm,9:00 a.m. - 6:00 p.m. 7 days a week.
Thiessen Farms,https://thiessenfarms.com/,https://www.instagram.com/thiessenfarms/,thefarm@thiessenfarms.com,"4132 15th St., Jordan Station, Ontario",Jordan Station,905-562-4372,Yes,No,Farm,-
Thompson’s Orchards,https://www.thompsonsorchards.ca/,https://www.instagram.com/thompsonsorchards/?hl=en,dappleman@ciaccess.com," 19863 Charing Cross Rd., Blenheim, Ontario",Blenheim,519-358–6347,Yes,No,Farm,Monday–Saturday: 9:00am to 5:00pm
Korny Korners Farm,https://kornykornersfarm.ca/,https://www.instagram.com/kornykornersfarm,roger@kornykornersfarm.ca,"6193 Blackwell Sd. Rd., Sarnia, Ontario",Sarnia,519-542-5232,Yes,No,Farm,-
Tigchelaar Berry Farms,https://tigchelaarberries.com/,https://www.instagram.com/tigchelaarberryfarm/?hl=en,dan@tigchelaarberries.com,"4151 Jordan Road, Jordan, Ontario",Jordan,905-658-2265,Yes,No,Farm,Monday to Friday 8:00am - 7:00pm Saturday & holidays 8:00am - 5:00pm
Pefferlaw Creek Farms,https://www.pcfarms.ca/,https://www.instagram.com/pc.farms/?ref=badge,john.tomory@pcfarms.ca," 12300 Conc. 6, Uxbridge, Ontario",Uxbridge,289-221-5265,Yes,Yes,Farm,Saturday and Sunday from 10am to 3pm
Traynor Farms,https://traynorfarms.ca/,https://www.instagram.com/traynorfarms/,info@traynorfarms.ca,"2193 County Road 2 Peterborough, Ontario",Peterborough,705-876-0044,Yes,Yes,Farm,Friday and Saturday 12-4
Stonehaven Farms,http://www.stonehavenfarms.com/,https://www.instagram.com/stonehaven_farms_/,heidi@stonehavenfarms.com,"7388 Guelph Line, R.R. #3, Campbellville, Ontario",Campbellville,905-878-1870,Yes,No,Farm,-
Vail’s Orchards,https://www.facebook.com/profile.php?id=100027868554033,https://www.instagram.com/vailsorchard/,bpvail@rogers.com,"205790 Hwy. 26, RR 1, Meaford, Ontario",Meaford,519-538-4474,Yes,No,Farm ,Monday - Sunday 9:00 AM - 6:00 PM
Snyder’s Farm & Market,http://www.snydersfamilyfarm.com/,-,info@snydersfamilyfarm.com," 936685 Blenheim Road, Bright, Ontario",Bright,519-632-7356,Yes,No,Farm & Market,-
Sun Valley Farms,http://www.sunvalleyfarms.ca/,https://www.instagram.com/sunvalleyfarmsniagara/,sunvalleyfarmsniagara@gmail.com,"1186 Highway 8, Winona, Ontario",Winona,289-237-3893,Yes,No,Farm,-
Staite’s Honey,https://www.staites-honey.com/,https://www.instagram.com/staiteshoney/,staiteshoney@live.com,"244 Ashworth Rd., Zephyr, Ontario",Zephyr,905-473-3401,Yes,Yes,Farm,-
Stanleys Olde Maple Lane Farm,https://stanleysfarm.com/,https://www.instagram.com/explore/locations/295843044180612/steckles-produce-flowers/,operations@stanleysfarm.com," 2452 Yorks Corners Rd., Edwards, Ontario",Edwards,613-821-2751,Yes,Yes,Farm,"Monday to Friday: 10am - 4pm"
Ackroyd's Honey Inc,https://ackroydshoney.com/,-,hello@ackroydshoney.com,"3649 Bruce Rd 10 Tara, ON N0H 2N0",Tara,519-934-0006,No,Yes,Honey,-
Acorn Creek Garden Farm,http://acorncreek.ca/,-,terauds@acorncreek.ca,"928 Oak Creek Rd. Carp, ON K0A 1L0",Carp,613-836-2613,Yes,Yes,Farm,Monday - Friday Monday 9:00 AM - 12:00 PM; 2:00 PM - 6:00 PM
AE Natural Meats,https://www.aenaturalmeats.com/,https://www.instagram.com/aenaturalmeats/,office@aenaturalmeats.com,"19619 McCowan Rd, Mount Albert, ON L0G1M0",Mount Albert,905-955-5749,Yes,No,Farm,Mon - Fri 9:00 am – 4:30 pm; Saturday 9:00 am – 5:00 pm; Sunday 3:30 pm - 5:00 pm
Algonquin Greens,-,-,rockcunning@gmail.com,"2031 Forest Lake Road, Sundridge ON P0A 1Z0",Sundridge,705-384-2490,Yes,No,Farm,-
"Ann Slater, Fresh Organic Vegetables",https://annslaterorganics.com/,-,aslater@quadro.net,"157030 15th Line , St. Marys, ON, Ontario",Ontario,519-349-2448,Yes,No,Farm,Saturdays 8:00am until 12:00pm
Arc Acres,https://arcacres.ca/,https://www.instagram.com/arc_acres/,arcacres@gmail.com,"1538 Manotick Station Road Greely, Ontario K4P 1K4",Greely,647-612-3889,Yes,No,Farm,-
Avonmore Berry Farm,https://avonmoreberryfarm.com/,https://www.instagram.com/avonmoreberryfarm/,pam@avonmoreberryfarm.com,"16365 Fourth Road Avonmore, ON K0C 1C0",Avonmore,613-346-2336,Yes,No,Berry Farm,Open Daily: Mid June to October 31st 9am–5pm
Barkley Apple Orchard,https://www.barkleysappleorchard.com/,-,billb.otr@gmail.com,"5179 Smiths Road Morrisburg, ON K0C 1X0",Morrisburg,613-543-0491,Yes,Yes,Fruit Farm,-
Bata Maples Sugarbush,https://batamaples.com/,https://www.instagram.com/batamaplessugarbush/,batamaples@gmail.com,"254 Bata Road Frankford, ON K0K2C0",Frankford,343-645-6405,Yes,Yes,Maple Farm,-
BearBrook Game Meats Inc.,https://www.farmersmarketsontario.com/view-farmer/?farmer_id=bearbrook_game_meats_inc,https://www.instagram.com/bearbrook_game_meats/,info@bearbrookfarm.com,"5396 Dunning Rd , Ottawa, ON",Ottawa, 613-835-2227,Yes,Yes,"Farm, Meats",Monday- Sunday 9:00 AM - 5:00 PM
Bella Hill Maple Syrup,https://www.farmersmarketsontario.com/view-farmer/?farmer_id=bella_hill_maple_syrup,https://www.instagram.com/explore/locations/436113996424196/bella-hill-maple-syrup/,bellahillmaple@gmail.com,"47 Bella Hill Road, POWASSAN, ON P0H 1Z0",POWASSAN,705-724-3647,Yes,Yes,Maeple Farm,-
Blanbrook Bison Farm,https://www.blanbrookbison.ca/,https://www.instagram.com/explore/tags/blanbrookbisonfarm/,blanbrook@quadro.net,"5679 Line 4 RR 6, St. Marys, ON N4X 1C8",St. Marys,	519-229-6316,Yes,Yes,Bison Farm,-
"Blue Shoes Honey",http://blueshoeshoney.ca/,https://www.instagram.com/blueshoeshoneyottawa,brianwlacey@gmail.com,"1915 County Road 2,Curran, ON K0B 1C0",Curran,	613-443-2101,Yes,No,Honey Farm, Sunday from 10:00am– 3:00pm
"Board's Honey Farm",http://boardshoneyfarm.com/,https://www.instagram.com/boards_honey_farm,info@boardshoneyfarm.com,"RR#1 Nipissing,6866 Hwy 534 Restoule, ON P0H 1W0",Restoule,705-729-2939,Yes,Yes,Honey Farm,Open 10-5pm daily.
"Bry-Anne Farms",http://bry-annefarms.ca/,https://www.instagram.com/bryannefarms/,	bryannefarms@gmail.com,"471 Foss Road, RR#5 Fenwick, ON L0S 1C0",Fenwick,905-892-8999,Yes,No,Farm,Monday 11:00 AM - 6:00 PM Tuesday 11:00 AM - 6:00 PM Wednesday 11:00 AM - 6:00 PM Thursday 11:00 AM - 6:00 PM Friday 11:00 AM - 6:00 PM Saturday 11:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM
Burrell Farm,https://burrellfarm.bigcartel.com/,https://www.instagram.com/burrellfarm/,	dainburrell@gmail.com,"30 Dianne Ave, Rockland, ON K4K 1G8",Rockland,613-608-4061,Yes,No,Farm,-
Buzzz Honey Product,http://buzzzhoney.com/,https://www.instagram.com/buzzzhoney/,info@buzzzhoney.com,"1941 County Rd. 2,Curran, ON K0B 1C0",Curran,613-314-0443,Yes,Yes,"Honey Product, Skin Care",-
Carrot Top Organic,https://www.carrottoporganics.ca/,https://www.instagram.com/carrottoporganics/,jb.joshblank@gmail.com,"1928 Asphodel 6th Line, Hastings, ON K0L1Y0",Hastings,647-835-6422,Yes,Yes,"Carrot, Organic Vegetabes",Open Daiy 9am- 5pm
"Castor River Farm",-,-,castorriverfarm@gmail.com,"1402 N Outer Road Suite E, Dexter, MO",Dexter,73-614-5810,Yes,Yes,Farm,Always open
"Cedar Grove Organic Farm",https://cgfarm.ca/,https://www.instagram.com/cedargroveorganicfarm/,scottking123@gmail.com,"625 Shamrock Rd, Omemee, Ontario K0L2W0",Omemee,289-888-2395,Yes,No,Orgnic Farm,Always open
"Cedar Hedge Farm",https://www.farmersmarketsontario.com/view-farmer/www.cedarhedgefarm.ca,-,chris@cedarhedgefarm.ca,"7612 Country Road 28 Campbellcroft (Port Hope), ON L0A1B0",Campbellcroft ,905-375-9488,Yes,No,Farm,-
"Cedar Run Farm",https://www.cedarrunfarm.ca/,http://www.instagram.com/cedar.run.farm,deanna@cedarrunfarm.ca,"6464 6th Concession. Prescott, ON K0E1T0",Prescott,161-3213-2190,Yes,Yes,"Farm, Range Chicken & Pies ",-
"Charlen Farm",-,-,	charlen@promail.lks.net,-,-,	613-475-4017,Yes,No,Farm,-
"Chick-a-biddy Acres",http://chickabiddyacres.com/,https://www.instagram.com/chickabiddy_acres/,chickabiddyacres@gmail.com,"Hastings, Ontario",Hastings,705-696-3506,Yes,No,Farm,-
"Circle Organic",http://circleorganic.ca/,https://www.instagram.com/circleorganic/,farm@circleorganic.ca,"338 County Rd 10., Millbrook ON L0A1G0",Millbrook ,705-932-9888,Yes,No,Orgnic Farm,Daily 10:00-1:00PM
"Creation Farms",https://www.creationfarms.ca/,https://www.instagram.com/creationfarmsontario,CreationFarmsON@gmail.com,"200 Doug Duncan Drive, Newmarket, ON L3Y 3Y9",Newmarket,-,Yes,Yes,Farm,Monday- Sunday 8am-5pm
Dave's Beef & Lamb,https://www.farmersmarketsontario.com/view-farmer/?farmer_id=daves_beef__lamb,-,dmdekay@isp.ca,"11191 Lamont Drive, R.R.#4, Komoka, ON N0L1R0",Komoka,519-666-0626,Yes,No,Beef & Lamb,-
"Dehaan Family Farms",http://dehaanfamilyfarms.com/,https://www.instagram.com/dehaanfamilyfarms/,dehaanfamilyfarms@gmail.com,"575 Golf Course Road, Powassan, ON P0H1Z0",Powassan,705-724-3983,Yes,No,Farm & Dairy,Wednesday-Saturday 9:00 AM - 5:00 PM
"Den Besten Rainbow Trout Farm",htttps://denbestentroutfarm.ca,https://www.instagram.com/wilhelminadenbesten/?e=03610717-9dfb-4bf0-91d6-4efde28b17b6&g=5,	hmdenbesten@hotmail.com,"244, 11th Concession Rd, Langton, ON N0E1G0",Langton, 519-875-2782,Yes,Yes,Trout Farm,Monday- Saturday 9:00 a.m.- 6:00 p.m
"DEWEE EVER-VEG",https://www.farmersmarketsontario.com/view-farmer/?farmer_id=dewee_ever_veg,-,Dvsnell@hotmail.com,"809 Lalande Rd , Sturgeon Falls, ON",Sturgeon Falls,705-358-6449,Yes,Yes,Farm,Thursday between 4pm to 6pm
Donagh Farm Ltd.,https://lzf.pfg.mybluehost.me/,-,donaghfarm@gmail.com,"3001 Rushmore Rd, Richmond, ON K0A 2Z0",Richmond,613-879-9486,Yes,Yes,Farm,"Monday, Tuesday, Wedneday, Thursday,Friday, Saturday 9am-6pm, & Sunday 9am to 7pm"
Earth and Soul Gardens,https://www.facebook.com/earthandsoul1,-,northbayone@gmail.com,"49 Johnson Road,Corbeil ON",Corbeil ,705-498-7340,Yes,No,Farm,Monday to Saturday 9:00 AM - 5:00 PM
Erie Bloom,https://www.farmersmarketsontario.com/view-market/?market_id=st_catharines_farmers_market,-,Erica.e@live.ca,"2649 Bertie St	Ridgeway, On",Ridgeway,289-788-2346,Yes,No,Farm,-
"Fair Sun Farm",https://www.fairsunfarm.ca/,https://www.instagram.com/fairsunfarm/,contact@fairsunfarm.ca,"3015 County Road 21, Spencerville, ON K0E 1X0",Spencerville,613-914-5572,Yes,Yes,"Farm, Flowers",-
"Fekete Produce Farm",https://www.facebook.com/FeketesProduceFarm/,-,mrsfarmerfekete@gmail.com,"32 Tenth Concession Rd , Burford, ON",Burford,519-449-1663,Yes,No,Farm,-
Fiddlehead Farm,http://fiddlehead-farm.ca/,http://instagram.com/fiddleheadfarmpec,heather@fiddlehead-farm.ca,"978 Fish Lake Road,Demorestville,ON",Demorestville,-,Yes,Yes,Farm,-
Field Sparrow Farms,http://fieldsparrowfarms.ca/,https://www.instagram.com/fieldsparrowfarms,henry@fieldsparrowfarms.ca,"127 County Rd. 36, Bobcaygeon, ON",Bobcaygeon,705-341-6007,Yes,Yes,Livestock Farm,Open Daily
"Fisher's Field",http://fishersfield.ca/,https://www.instagram.com/fishersgarlic/,robbmcintosh@outlook.com,"954 Sandy Hook Road, Kawartha Lakes, ON",Kawartha Lakes,416-809-6215,Yes,Yes,Farm,Saturday10:00 AM - 5:00 PM
"Foragers farms",http://foragersfarms.ca/,https://www.instagram.com/foragersfarms,Foragersfarms@gmail.com,"3533 Rowe Rd.,Cobourg, ON K9A 4J7",Cobourg,	905-999-3243,Yes,Yes,Farm,Tuesdays or Fridays2pm-6
"Forest Hill Orchard",https://www.farmersmarketsontario.com/farmer/forest-hill-orchard/,-,fmo@farmersmarketsontario.com,"5577 Aberarder Line, Plympton-Wyoming",Plympton-Wyoming,519-899-2595,Yes,No,"Fruits, Farm",-
"Forty Mile Creek Farm",https://www.fortymilecreekfarm.com/,-,admin@fortymilecreekfarm.com,"145 Elm Tree Rd. W, Grimsby, ON L3M 4E7",Grimsby,905-945-0809,Yes,No,Farm,Thursday from 3 - 7pm.
"Frisa Farms",https://www.facebook.com/FrisaFarms/,https://www.instagram.com/frisafarms/,frisa.farms@execulink.com,"30130 Centre Rd, Strathroy, ON",Strathroy, 519-232-4478,Yes,No,Livestock Farm,-
Gareau Family Farm,https://www.facebook.com/Gareaufamilyfarm/,https://www.instagram.com/gareau84_air/,gareaufamilyfarm@gmail.com,"hwy64, Verner, ON, ",Verner,613-222-9086,Yes,No,Farmers Market,-
"Garland Sugar Shack",http://garlandsugarshack.ca/,https://www.instagram.com/explore/locations/1018022595/garland-sugar-shack/,garlandsugarshack@gmail.com,"5930 Garlandside Rd. Cumberland, ON K4B 1S9",Cumberland,613-835-3362,Yes,Yes,Sugar & Maple Farm,Always open
"Gingrich Family Farm",https://gingerich.com/,https://www.instagram.com/explore/tags/gingrichfamilyfarm/,info@gingerich.com,"PO Box 910 Canby, OR 97013",Canby,226-231-8841,Yes,Yes,Farm,-
"Godelie Family Farm",https://www.farmersmarketsontario.com/view-farmer/?farmer_id=godelie_family_farm,https://www.instagram.com/godeliefamilyfarm/,garygodelie@execulink.com,"225754 Otterville Road , Norwich, ON",Norwich,519-410-0831,Yes,No,"Farm, Christmas Tree","Thursday & Friday 3pm-6pm, Saturday 10am-5pm, Sunday 10am-4pm"
"Golokal Microgreens",https://golokalmicrogreens.ca/,https://www.instagram.com/golokalmicrogreens/,golokalmicrogreens@gmail.com,"2984 County Road 15 Avonmore, Ontario",Avonmore,365-601-8458,Yes,Yes,Microgreens,Thursday to Saturday from 9-5
"Gordz Hot Sauce",http://gordzhotsauce.com/,https://www.instagram.com/gordz_hot_sauce/,gordzhotsauce@gmail.com,"1375 Hwy 34,Dalkeith,ON",Dalkeith,250-489-9872,Yes,Yes,Hot Sauce,Monday- Sunday8:00 AM - 8:00 PM
Graham Acres,https://www.graham-acres.com/,https://www.instagram.com/life_with_linz/,order@graham-acres.com,"386 N 4295 , Pryor, OK",Pryor,918-698-0743,Yes,Yes,Livestock Farm,-
"Granite Ridge Farm",https://www.graniteridgefarms.com/,https://www.instagram.com/graniteridgefarmwi/,graniteridge@mail.com,"238226 Chico Rd (Old Address is 7200 N 57th St), Wausau, WI,",Wausau,705-492-1895,Yes,No,Livestock Farm,Saturday9:00 AM - 1:00 PM
"Greystead Gardens",https://greystead-gardens.business.site/,-,greysteadgardens@gmail.com,"Kilworth Heights, ON,",Kilworth Heights,519-872-6096,Yes,Yes,Garden Farm,8am to 1pm
"Grumpy's Greens",http://grumpysgreens.com/,https://www.instagram.com/grumpysgreens/,grumpysgreens@gmail.com,"ST CATHARINES, ON",ST CATHARINES,-,Yes,No,Farm,-
"Gunn's Hill Artisan Cheese",https://gunnshillcheese.ca/,https://www.instagram.com/gunnshillartisancheese/?hl=en,shep@gunnshillcheese.ca,"445172 Gunns Hill Rd, Woodstock, ON N4S 7V8",Woodstock,519-424-4024,Yes,Yes,Artiasan Cheese,Monday-Saturday: 9am-5pm
Gypsy Family Farm,https://www.facebook.com/groups/gypsyfamilyfarm,-,gypsyfamilyfarm@ontera.net,"1065 Union Road, RR#1	Evansville,On",Evansville,705-282-6255,Yes,No,Farm,-
"H & H Lacroix",https://www.farmersmarketsontario.com/farmer/h-h-lacroix/,-,hervelacroix1956@hotmail.com,"5138 Frank Kenny Road	Vars, On",Vars,613-835-3545,Yes,No,Farm,-
Harmony Farm,https://harmonyfarm.ca/,https://instagram.com/harmony_farming?igshid=YmMyMTA2M2Y=,farmingharmony@gmail.com,"7940 Seeker Rd,Elizabethtown, ON K6V 5T2",Elizabethtown,613-866-6645,Yes,Yes,Farm,Always open
Heart City Farm,https://www.heartcity.farm/,https://www.instagram.com/heartcity.farm,info@heartcity.farm,"4642 Ridge Rd,Ramsayville, ON,K0A 2Y0",Ramsayville,613-716-7661,Yes,Yes,Flower Farm,-
Heartee Foods,https://hearteefoods.com/,https://www.instagram.com/hearteefoods/,jon@hearteefoods.com,"105 Schneider Road, unit 117, Kanata, Ontario",Kanata,613-315-0277,Yes,No,Mushroom,-
Heartee Foods Toronto,https://hearteefoods.com/,https://www.instagram.com/hearteefoods/,alecmartin@hearteefoods.com,"123 Garratt Blvd, Toronto",Toronto,647-761-2532,Yes,No,Mushroom,-
Hello Farm,https://hellofarm.ca/,https://www.instagram.com/hellofarmorganicallygrown/,hellofarmorganics@gmail.com,"2126 County Road 46, Havelock, Ontario",Havelock,249-353-4965,Yes,No,Organic Farm,-
Honey Producer,-,-,sbryans1@cogeco.ca,"2691 Foxmeadow Rd Peterborough, ON K9L 0A8",Peterborough,705-742-4533,Yes,No,Honey,-
Ingleside Tomatoes,-,-,michelleconduah@gmail.com,"14444 Dafoe Road, Ingleside",Ingleside,613-537-8250,Yes,No,Tomatoes,-
Jardins Bergeron Gardens,https://jardinsbergerongardens.ca/,https://www.instagram.com/bergerongardens/,bergeron.gardens@gmail.com,"2510 White Street Navan, ON, ON K4B 1H9",Navan,613-797-2941,Yes,No,Garden Farm,7 days/week 9am-5pm
Jardins FC Drouin Gardens,-,-,f.c.drouin@bell.net,"1226 Concession 10, Curran, Pendleton, ON, Canada, Ontario",Curran,613-978-3094,Yes,No,Garden Farm,Open daily 9:00am- 5:00pm
Just Farms,-,-,justfarms@xplornet.com,"359 Main Street , North Glengarry, ON, Ontario",North Glengary,613-551-8113,Yes,No,Farm,Monday-Friday 9-4 and Saturday 8-2 
Kawartha Lakes Flower Farm,-,-,mmotyer200@yahoo.ca,"872 Tindle Bay Road, Selwyn",Selwyn,705-740-4132,Yes,No,Flower Farm,-
"Kelly's Gourmet Mushrooms/The Fungi Connection",https://www.thefungiconnection.com/,https://www.instagram.com/thefungiconnection,deb@kellysgourmetmushrooms.ca,"1435 Kendal Ave,Kingston, ON K7P 0L6",Kingston,613-532-6025,Yes,Yes,Mushroom Farm,Always open
Kitley Beef Farm,https://kitleybeef.ca/,https://www.instagram.com/kitleybeeffarm/,rudyhaveman@gmail.com,"422 Kiltey Line 3, Toledo, Ontario",Toledo,613-275-0402,Yes,No,Beef Farm,Always open
Windmill Ridge Acres,https://www.windmillridge.ca/,https://www.instagram.com/windmillridgeacres,info@windmillridge.ca,"1040 Ridge Rd, Harrow, ON N0R 1G0",Harrow,519-791-6536,Yes,No,Orchards,Friday - Saturday 9am-7pm
Leahy Stock Farm,http://www.leahystockfarmlocalfood.ca/,https://www.instagram.com/leahysfarmandmarket/?hl=en,bern.leahy@gmail.com,"Douro, ON",Douro,	705-927-2946,Yes,Yes,Livestock Farm,Saturday 8am to 1pm
Les Fruits du Poirier,https://www.lesfruitsdupoirier.com/,-,lesfruitsdupoirier@ropoirier.com,"2535 Concession Rd 3, St-Eugène, ON K0B 1P0",St-Eugène,514-792-3599,Yes,Yes,"Fruits, Farm",Friday from 8:00 a.m. to 7:00 p.m.; Saturday from 8:00 a.m. to 7:00 p.m.; Sunday from 9:00 a.m. to 5:00 p.m.
Linda's Garden,https://www.lindagardenandwreaths.com/,-,lindagardenandwreaths@gmail.com,"3690 Marcil Road, Prescott, ON, Canada, Ontario",Prescott,613-276-7980,Yes,Yes,Farm,Monday8:00 AM - 11:00 AM 12:00 PM - 1:00 PM; Tuesday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM; Wednesday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM; Thursday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM; Friday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM; Saturday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM; Sunday 9:00 AM - 5:00 PM 6:00 PM - 7:00 PM
Lipsitt Orchards,https://www.lipsittorchards.com/,,lipsittfarms@gmail.com,"446 Kemp Rd W, Grimsby, ON L3M 4E7",Grimsby,905-945-4227,Yes,No,"Orchards, Vineyard",Open daily 9:00am-6;30pm
Log House,-,-,gknox@uottawa.ca,"7383 Fourth Line Road, Box255, North Gower",North Gower,613-489-3675,,,Farm,-
Lytle's Organic Vegetables,-,https://www.instagram.com/lytlesorganicvegetables/,lytlesorganicveggies@gmail.com,"5135 Upper Dwyer Hill road , Arnprior, ON, Ontario",Arnprior,613-790-0037,Yes,No,Farm,-
Madrigal Farm,https://www.ptboregionalfarmersmarket.org/madrigal-gardens,https://www.instagram.com/madrigal.gardens,madrigal.gardens@gmail.com,"1390 David fife Line Keene, ON K0L 2G0",Keene,705 957-6235,Yes,Yes,Farm,-
Matthews Maple Syrup,https://matthewsmaple.com/,-,dave@matthewsmaple.com,"239 Ski Hill Road Powassan, ON P0H 1Z0",Powassan,705-724-3427,Yes,No,Maple Farm,Open Daily 9am-5pm 
McGregor's Produce,https://mcgregorsproduce.com/,https://www.instagram.com/mcgregorsproduce/,mcgregorsproduce@gmail.com,"351 Lochwinnoch Road, Braeside, Ontario",Braeside,613-432-9726,Yes,No,Farm,-
McLean Berry Farm,https://mcleanberryfarm.com/,https://www.instagram.com/mcleanberryfarm/,news@mcleanberryfarm.com,"2191 16th line of Smith, Lakefield, ON, Ontario",,705-657-2134,Yes,Yes,"Vegetable, Berries, Maple Farm",Open Daily 9:00 AM - 5:00 PM
McVean Farms,-,-,jhidalgo541@hotmail.com,"71 Driftwood Ave. Unit #5, North York",North York,647-701-5994,,,Farm,-
Milkhouse Farm & Dairy,https://www.milkhouse.ca/,https://www.instagram.com/milkhousedairy/,info@milkhouse.ca,"Smiths Falls, Ontario",Ontario,613-285-9250 / 613-285-9155,Yes,Yes,Dairy Farm,-
Moffat Eggs,-,-,keitonmoffat@gmail.com,"2010 Cameron Line Indian River, ON K0L 2B0",Indian River,705 772-8354,Yes,No,Farm Eggs,-
Moonlight Crofters,http://moonlightcrofters.com/,https://www.instagram.com/moonlightcrofters/,moonlightcrofters@gmail.com,"1320 Scotch Bush Rd, Douglas, ON K0J 1S0",Douglas,613-649-2190,Yes,No,Organic Farm,-
Mud Dog Creek,https://www.muddogcreek.ca/,https://www.instagram.com/muddogcreek/,muddogcreekfarm@gmail.com,"225 Birchgrove Drive West Callander, ON P0H1H0",Callander,705-499-6869,Yes,Yes,Farm Eggs,Wednesday 10:00am - 2:00 pm; Saturday 8:30 am - 1:00pm
Murray's Farm,https://murraysfarm.com/,https://www.instagram.com/murraysfarm/,murraythunberg@primus.ca,"182 Ottawa St N, Hamilton, ON L8H 3Z5",Hamilton,905-393-1380,Yes,Yes,Livestock Farm,M-F: 11am – 6pm; Sat: 9am – 6pm; Sun: 10am – 5pm
Myzel Organics Inc.,https://myzelorganics.com/,https://www.instagram.com/myzelorganics/,info@myzelorganics.com,"51207 Tunnacliffe Road South Wainfleet, ON L0S 1V0",Wainfleet,877 386-0632,Yes,No,Mushroom,Monday - Friday 08:00am - 5:00pm
Nautilus Farm,https://www.ptboregionalfarmersmarket.org/nautilus-farm,-,toddnoble@gmail.com,"1888 David Fife Line, RR#1, Concession 5, Lot 22, Indian River",Indian River,705 -957 -0618,Yes,No,Farm,-
